"state","county","MaxTemp","MinTemp","precipitation"
"Washington","Adams County",52.4,28.4,0.61
"Washington","Asotin County",49.8,29.8,0.95
"Washington","Benton County",55.4,33.3,0.57
"Washington","Chelan County",43.1,25.8,1.82
"Washington","Clallam County",46.4,31.7,5.73
"Washington","Clark County",52.8,35.2,4.53
"Washington","Columbia County",49.1,30.3,1.41
"Washington","Cowlitz County",50.8,33.3,6.13
"Washington","Douglas County",50.6,28.5,0.57
"Washington","Ferry County",44.2,22.8,0.99
"Washington","Franklin County",55,31.6,0.61
"Washington","Garfield County",49.5,30.2,1.09
"Washington","Grant County",53.9,30.1,0.55
"Washington","Grays Harbor County",50,32.4,6.15
"Washington","Island County",51.7,37.6,2.12
"Washington","Jefferson County",44.3,29.2,6.74
"Washington","King County",46.2,32.5,6.08
"Washington","Kitsap County",51,35.6,2.82
"Washington","Kittitas County",46,27.6,1.93
"Washington","Klickitat County",50.8,30,1.41
"Washington","Lewis County",47.7,30.8,5.75
"Washington","Lincoln County",49.7,26.4,0.65
"Washington","Mason County",48.7,31.7,5.34
"Washington","Okanogan County",43.1,24,0.86
"Washington","Pacific County",50.6,33,6.81
"Washington","Pend Oreille County",42.8,22.4,1.89
"Washington","Pierce County",45.6,30.8,5.43
"Washington","San Juan County",50.2,36.2,1.25
"Washington","Skagit County",45.2,30.4,5.88
"Washington","Skamania County",44.8,29.7,6.97
"Washington","Snohomish County",44.9,31.1,6.32
"Washington","Spokane County",48.4,27.5,0.99
"Washington","Stevens County",46.7,24.8,1.11
"Washington","Thurston County",51.7,33.4,3.66
"Washington","Wahkiakum County",51,33.4,6.31
"Washington","Walla Walla County",54.2,33,0.79
"Washington","Whatcom County",42.9,28.3,5.44
"Washington","Whitman County",51.2,29.6,0.93
"Washington","Yakima County",48.2,28.3,1.63
"Oregon","Baker County",48.5,27.6,1.5
"Oregon","Benton County",53,34.8,4.4
"Oregon","Clackamas County",47.6,32,5.72
"Oregon","Clatsop County",50.2,33.5,6.3
"Oregon","Columbia County",51.8,34.2,3.18
"Oregon","Coos County",53.7,35.3,5.03
"Oregon","Crook County",48.6,24.7,1.07
"Oregon","Curry County",52.8,35.2,5.46
"Oregon","Deschutes County",46.1,23.1,1.75
"Oregon","Douglas County",51.8,32.5,3.88
"Oregon","Gilliam County",52.3,30.6,0.71
"Oregon","Grant County",46.3,25.4,1.86
"Oregon","Harney County",48.1,26.1,1.17
"Oregon","Hood River County",44.7,29.6,4.35
"Oregon","Jackson County",51,30.4,2.24
"Oregon","Jefferson County",49.6,26.7,1.2
"Oregon","Josephine County",51.1,31.7,2.81
"Oregon","Klamath County",46.6,24.4,2.25
"Oregon","Lake County",46.5,24.6,1.45
"Oregon","Lane County",50.2,32.3,4.86
"Oregon","Lincoln County",52.4,35.5,6.31
"Oregon","Linn County",49.2,31.4,5.66
"Oregon","Malheur County",51.4,28.3,0.98
"Oregon","Marion County",49.5,32.4,5.03
"Oregon","Morrow County",51.6,30.2,0.98
"Oregon","Multnomah County",51.6,35.3,4.69
"Oregon","Polk County",53.2,34.5,4.68
"Oregon","Sherman County",51.9,30.5,0.89
"Oregon","Tillamook County",50.1,34.1,6.66
"Oregon","Umatilla County",50.5,30.3,1.4
"Oregon","Union County",46.3,26.9,2.23
"Oregon","Wallowa County",45.4,25.8,1.91
"Oregon","Wasco County",49.5,29.5,1.24
"Oregon","Washington County",52,34.7,3.35
"Oregon","Wheeler County",49.2,27.1,1.36
"Oregon","Yamhill County",52.9,34.8,3.63
