"state","county","value"
"Washington","Adams County",52.4
"Washington","Asotin County",49.8
"Washington","Benton County",55.4
"Washington","Chelan County",43.1
"Washington","Clallam County",46.4
"Washington","Clark County",52.8
"Washington","Columbia County",49.1
"Washington","Cowlitz County",50.8
"Washington","Douglas County",50.6
"Washington","Ferry County",44.2
"Washington","Franklin County",55
"Washington","Garfield County",49.5
"Washington","Grant County",53.9
"Washington","Grays Harbor County",50
"Washington","Island County",51.7
"Washington","Jefferson County",44.3
"Washington","King County",46.2
"Washington","Kitsap County",51
"Washington","Kittitas County",46
"Washington","Klickitat County",50.8
"Washington","Lewis County",47.7
"Washington","Lincoln County",49.7
"Washington","Mason County",48.7
"Washington","Okanogan County",43.1
"Washington","Pacific County",50.6
"Washington","Pend Oreille County",42.8
"Washington","Pierce County",45.6
"Washington","San Juan County",50.2
"Washington","Skagit County",45.2
"Washington","Skamania County",44.8
"Washington","Snohomish County",44.9
"Washington","Spokane County",48.4
"Washington","Stevens County",46.7
"Washington","Thurston County",51.7
"Washington","Wahkiakum County",51
"Washington","Walla Walla County",54.2
"Washington","Whatcom County",42.9
"Washington","Whitman County",51.2
"Washington","Yakima County",48.2
"Oregon","Baker County",48.5
"Oregon","Benton County",53
"Oregon","Clackamas County",47.6
"Oregon","Clatsop County",50.2
"Oregon","Columbia County",51.8
"Oregon","Coos County",53.7
"Oregon","Crook County",48.6
"Oregon","Curry County",52.8
"Oregon","Deschutes County",46.1
"Oregon","Douglas County",51.8
"Oregon","Gilliam County",52.3
"Oregon","Grant County",46.3
"Oregon","Harney County",48.1
"Oregon","Hood River County",44.7
"Oregon","Jackson County",51
"Oregon","Jefferson County",49.6
"Oregon","Josephine County",51.1
"Oregon","Klamath County",46.6
"Oregon","Lake County",46.5
"Oregon","Lane County",50.2
"Oregon","Lincoln County",52.4
"Oregon","Linn County",49.2
"Oregon","Malheur County",51.4
"Oregon","Marion County",49.5
"Oregon","Morrow County",51.6
"Oregon","Multnomah County",51.6
"Oregon","Polk County",53.2
"Oregon","Sherman County",51.9
"Oregon","Tillamook County",50.1
"Oregon","Umatilla County",50.5
"Oregon","Union County",46.3
"Oregon","Wallowa County",45.4
"Oregon","Wasco County",49.5
"Oregon","Washington County",52
"Oregon","Wheeler County",49.2
"Oregon","Yamhill County",52.9
